feed,사료|먹이|공급하다|수유|사육
discover,발견하다|알다|찾다|밝히다|깨닫다
reveal,드러내다|보여주다|밝히다|말하다|알리다
training,훈련|교육|트레이닝
discipline,규율|학문|기강|징계|훈련
discharge,방출하다|퇴원하다|제대하다|해고하다|이행하다
discard,버리다|폐기|포기|처리|가치없는
approve,승인하다|허가하다|찬성하다|동의하다|인정하다
diligent,근면한|부지런한
confirm,확인하다|확정하다|확신하다|확실히 하다
configuration,구성|형상|상대적 배치
confidential,비밀의|기밀의|흉금을 터놓는|감추는
confidence,자신감|신뢰|확신|심리|신용
conductor,지휘자|전도체|안내자
conditional,조건부의
conduct,실시하다|수행하다|행동하다|시행하다|지휘하다
condition,조건|상태|환경|상황|병
concord,일치|조화|미국 New Hampshire 주의 주도
conclude,결론짓다|체결하다|맺다
literacy,읽고 쓰는 능력|읽고 쓸 줄 앎|교양이 있음
compute,컴퓨터로 계산하다|계산하다
compulsory,의무적인|강제적인|필수의
compromise,타협하다|손상시키다|절충하다|양보하다|노출시키다
assign,부여하다|할당하다|지정하다|정하다
assist,돕다|보조|지원하다|어시스트|원조하다
asset,자산|재산|유산|이점
ambitious,야심적인|의욕적인|열정|엄청난|대담하게
alter,변경하다|바꾸다|변형|수정|조작
lessen,줄이다|완화하다|감소하다
soothe,진정시키다|완화하다|안심시키다|가라앉히다|덜다
relieve,완화시키다|안도하다|해소시키다|풀다|경감하다
designate,지정하다|지명하다|선정하다
allot,할당하다
allocate,할당하다|배분하다|책정하다
pass trough,
put on,입다|쓰다|신다
stand for,…을 나타내다|상징하다|대표하다
shake hand,
see off,
run over,…을 치다|지면을 초과한|초과하다
run out of,…을 다 써버리다|…가 떨어진|동나다
be afraid of,
be covered with,
at first,처음에|첫|최초에는|먼저|우선
at on-ce,
forward to a thing [doing],
inquire,조사하다|문의하다
examine,검토하다|조사하다|살펴보다|관찰하다|확인하다
probe,조사하다|수사하다|탐사하다|규명하다
check,확인하다|점검하다|검사|체크|수표
investigate,조사하다|수사하다|살피다
come up with,내놓다|제안하다|떠올리다|수립|해내다
swine,돼지|멧돼지|야비한 사람
laugh,웃다|웃음|비웃다|재미있어하다
distance,거리|간격|먼 곳|먼 데
specialize,전문화하다|특수화하다|전공하다
record,기록하다|기록적인|녹음하다|최고의|음반
variation,변화|변형|변이|차이|다양한
unnecessary,불필요한|쓸데없는
absorb,흡수하다|받아들이다|열중하다|섭취하다|빼앗다
undergraduate,대학의|학부의
manage,관리하다|운영하다|다루다|어떻게든 …하다|잘 해내다
convenient,편리한|간편한|손쉬운|알맞은
debilitate,약하게 하다|약체화하다|약화시키다
rely,의존하다|의지하다|따르다|기대다|믿다
stimulus,자극|부양책|고무
borrowing,차용|차용금|차용물
monetary,통화의|금융의|금전의|화폐의|재정의
urge,촉구하다|해야 한다|요구하다|강조하다|주장하다
resume,재개하다|다시 시작하다|이력서|경력|되찾다
collective,집단적인|공동의|총괄적인|합쳐진
argue,주장하다|논쟁하다|논의하다|말다툼하다|왈가왈부하다
recovery,회복|회수|복구|재생
affect,영향을 주다|작용하다|감염시키다|…체하다
disease,질환|질병|병|부패|병폐
oppose,반대하다|저지하다|대항하다|저항하다|대치하다
compensation,보상|보정|배상|보수|보험
defender,방어자|선수권 보유자
kick off,시작하다|시작되다|킥오프하다
veteran,퇴역 군인|베테랑|중견|노련한
elude,이해되지 않다|피하다|잘 피하다
drew,draw의 과거형
fundamental,기본적인|근본적인|중요한|펀더멘틀|궁극적인
nearly,거의|가까이
infectious,전염성의|감염성|병적인|중독성 강한
outbreak,폭발|돌발|돌연한 출현
attention,관심|주의력|주의|주목|집중
premise,전제|건물|기본|토지|그곳
suggest,제안하다|시사하다|제시하다|암시하다|제의하다
rapidly,빠르게|급속히|급격히|신속히|순식간에
prevention,예방|방지
relatively,비교적으로|상대적으로|비하여
frigid,몹시 추운|냉담한|쌀쌀한
stuff,물건|물질|넣다|음식물
tropical,열대의
appealing,매력적인|마음을 끄는|애원하는
factor,요인|원인|요소|유전자|인수
climate,기후|풍토|분위기|날씨
destination,목적지|관광지|여행지|장소|목표
beating,때리기|패배|고동
fall,떨어지다|감소하다|가을|하락하다|폭포
ocean,바다|해양|대양
flooding,범람|담수|대량 출혈
freezing,동결|얼어붙은|몹시 추운|영하의|차가운
heavy,중(重)…|무거운|강력한|과중한|심한
greenhouse,온실
spinach,시금치|그 잎|돈
farming,농업|농사|사육업
welfare,복지|후생|보호|행복
strengthen,강화하다|강하다|증강시키다|튼튼하다
stability,안정|안전
fiscal,재정의|세입의|회계의
robust,튼튼한|강건한|건장한
drastically,과감하게|철저히|심하게
nuclear,핵의|원자력|원전
renounce,포기하다|…을 부인하다|…을 단념하다
ambition,야망|야심|꿈|욕심
door,문|도어|현관|문호|출입구
dialogue,대화
attack,공격하다|발작|비난하다|덤벼들다|폭행하다
widely,널리|가장|광범위하게|대부분
quality,품질|질|특성|자질|고급의
goods,상품|물품|물건|재화|물자
consumer,소비자|고객
environment,환경|상황|자연|분위기
decide,결정하다|하기로 하다|판결하다|해결하다|다짐
success,성공|성공한 사람|성과|달성|대히트
achieve,달성하다|성취하다|…을 이루다|획득하다
increase,증가하다|늘리다|인상되다|확대하다|상승하다
circulation,순환|유통|발행 부수|동선|돌다
air,공기|대기|항공의|공군의|하늘의
management,관리|경영|운영|사측|기획사
respective,각각의|각자의|…에 따라|저마다의|존경스러운
repetitive,반복적인|되풀이하는|반복성의
