些,"고문에 쓰이는 문말 조사로, ‘兮xī’의 용법과 비슷하며 ‘楚辞’에서 많이 쓰임|조금|‘好’·‘这么’·‘那么’ 등과 결합하여 수량이 많음을 나타냄"
下雨,비가 내리다|비가 오다
下午,오후|하오
小姐,아가씨|양|아기씨
小,작다|약간|나이 어린 사람
现在,지금|이제|현재
先生,선생|남편|바깥양반
想,생각하다|추측하다|희망
下,밑|저급|내려가다
五,5|다섯|중국 민족 음악의 한 음계
我们,우리|나|저
我,나|우리|자기
喂,야|먹이를 주다|먹이다|여보세요
同学,동창|학우|동급생
听,듣다|다스리다
天气,일기|날씨|시간
太,지나치게|크다|성
她,그 여자|그녀|조국·당기·국기 등에 대해 경애를 표시하는 칭호
他,그|동사와 수량사 사이에 “동사+∼+수사”의 형태로 쓰여 어세를 강하게 함|다른 곳
岁,해|살|시간
四,4|중국 음악의 음계의 하나|성
说话,말하다|잡담하다|나무라다
睡觉,자다
水果,과실|과일
水,물|구슬려서 알아내다
书,쓰다|글씨체|책
时候,시간|때|시각
是,맞다|옳음|옳다고 여기다
十,십|완전한|많은
什么,무엇|의문을 나타냄|뭐
谁,누|아무|누구
少,적다|잃다|작작
上午,오전|전장|상오
商店,상점
上,위|상등|앞의
三,3|셋|재삼
日,해|나날이|씹하다
人,사람|어른
热,열|덥다|가열하다
去,떠나다|과거의|거성
请,요청하다|초빙하다|초대
前面,앞|전면|먼저
钱,동전|돈
七,"칠|칠재|옛날, 도박에서 기적이 일어남"
苹果,"사과|사과나무|애플(상표, Apple)"
漂亮,아름답다|보기 좋다|곱다
朋友,친구|벗|애인
女儿,딸|미혼녀
年,해|매년의|나이
你,너|너희들|사람
能,재능|재능이 있다|…할 수 있다
呢,의문문의 끝에 써서 의문의 어기를 나타냄|의문 조사와 결합하여 사용됨|나사
那,고유 명사의 음역에 사용함|성|저것
哪,어느|어찌하여|어기조사
名字,이름|성명|이름과 자
明天,내일|앞날|가까운 장래
米饭,쌀밥|밥
没关系,괜찮다|문제없다|관계가 없다
没,"'没有'의 뜻으로 쓰임|물에 잠기다|가득 차서 넘치다|(탄식하는 소리로) 후, 에그."
猫,고양이|숨다|달아나 숨다
妈妈,엄마|어머니|아주머니
买,사다|세내다|성
吗,무엇|구말에 사용하여 의문을 표시함
六,6|중국의 음계 부호의 하나
零,영세하다|우수리|영
里,속|안|‘这’ ‘那’ ‘哪’ 등의 뒤에 붙어 장소를 나타냄|리
冷,춥다|식히다|성
了,동사 또는 형용사 뒤에 쓰여 동작 또는 변화가 이미 완료되었음을 나타냄|완결하다|완전히
老师,선생님|은사|스승
来,오다|동사구조와 동사 사이에 쓰여서 방법·방향·태도·목적을 나타냄|동사 뒤나 문장 끝에 쓰여 회상을 나타냄
块,덩어리|함께
看见,보다|보이다|눈에 띄다
看,지키다|맡아보다|보다
开,열다|할|절
九,9|동지부터 시작하여 81일간|여러 번
今天,오늘|현재|목전
叫,외치다|수컷|‘地‧de’와 같음
家,옛날 여자에 대한 존칭|가정|집에서 기르는
几,궤|몇|얼마나
会,모이다|회|때마침
回,돌다|회|회족
后面,뒤|뒤쪽|뒷면
和,평화롭다|화해하다|…와
喝,마시다|허!|크게 외치다
好,좋다|다 낫다|잘
汉语,한어|중국어
狗,개|아첨하고 떠받들다
工作,업무|직업|일하다
个,개|단독의|키
高兴,좋아하다|기쁘다|유쾌하다
飞机,비행기|항공기
饭馆,식당|요리점|음식점
儿子,아들
二,2|둘째|다른
多少,얼마|많고 적음|분량
多,많다|…여|훨씬
对不起,미안합니다|미안하다|죄송하다
读,구두|낭독하다|읽다
都,모두|수도|아름답다
东西,
电影,영화
电视,텔레비전
电脑,컴퓨터|전자계산기
点,방울|약간|점을 찍다
的,'定语' 의 뒤에 붙는 조사|진실의|과녁
打电话,전화를 걸다
大,크다|크기|크게 하다
吃,먹다|…당하다|음식
茶,차나무|차|일부 음료의 명칭
菜,채소|부식물|식용의
不客气,무례하다|천만에요|버릇없다
不,동사·형용사와 다른 부사의 앞에 쓰여 부정을 표시함|현재·미래의 행위·동작·심리 상태·의지·가능성을 부정
本,뿌리나 줄기|중심의|본래
杯子,잔|컵
北京,북경|베이징스|북경시.
爸爸,아빠|아버지
八,8|여덟|대체적인 수를 나타냄
爱,사랑|…하기를 좋아하다|남의 딸에 대한 경칭
